Prognosis,Symptoms
Anemia of chronic disease,"chest tightness, constipation, diaper rash, disturbance of smell or taste, elbow weakness, fainting, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, warts, weakness"
Dysthymic disorder,"ankle weakness, antisocial behavior, delusions or hallucinations, depression, discharge in stools, emotional symptoms, fatigue, infrequent menstruation, loss of sensation, low back weakness, sleepwalking, symptoms of the scrotum and testes"
Scarlet fever,"constipation, coryza, difficulty eating, feet turned in, groin mass, mouth dryness, penile discharge, side pain, skin pain, skin rash, sore in nose, throat redness"
Hypertensive heart disease,"changes in stool appearance, diarrhea, fainting, fluid in ear, headache, infrequent menstruation, leg stiffness or tightness, pallor, pus in urine, sharp abdominal pain, sharp chest pain, warts"
Polycystic ovarian syndrome (PCOS),"abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, hostile behavior, infant spitting up, insomnia, lip swelling, pain or soreness of breast, paresthesia, underweight, weakness"
Encephalitis,"discharge in stools, disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, scanty menstrual flow"
Cyst of the eyelid,"abnormal involuntary movements, diminished hearing, early or late onset of menopause, eye strain, irritable infant, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, skin pain, symptoms of bladder, white discharge from eye"
Balanitis,"abdominal distention, coryza, depressive or psychotic symptoms, feet turned in, itching of scrotum, painful sinuses, pelvic pressure, penile discharge, penis pain, skin irritation, skin pain, stuttering or stammering"
Foreign body in the throat,"coryza, cough, diarrhea, difficulty eating, increased heart rate, infant feeding problem, lump over jaw, palpitations, sharp chest pain, sore in nose, throat redness, vaginal redness"
Alcohol withdrawal,"abnormal breathing sounds, absence of menstruation, ankle weakness, decreased heart rate, depression, disturbance of smell or taste, facial pain, nasal congestion, scanty menstrual flow, sharp abdominal pain, vaginal redness, warts"
Premature atrial contractions (PACs),"changes in stool appearance, disturbance of smell or taste, facial pain, fainting, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pallor, pus in sputum, sharp abdominal pain, sharp chest pain"
Hemiplegia,"abnormal breathing sounds, arm pain, arm swelling, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, sleepwalking, warts"
Joint effusion,"allergic reaction, ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, leg stiffness or tightness, problems during pregnancy, wrist lump or mass, wrist stiffness or tightness"
Meningioma,"depression, difficulty in swallowing, difficulty speaking, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Brain cancer,"arm swelling, bleeding or discharge from nipple, cross-eyed, difficulty in swallowing, discharge in stools, flushing, hand or finger weakness, leg swelling, scanty menstrual flow, sleepwalking, stiffness all over, warts"
Placental abruption,"coughing up sputum, cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, itchy ear(s), low urine output, nasal congestion, premenstrual tension or irritability, spots or clouds in vision, upper abdominal pain, wrist swelling"
Seasonal allergies (hay fever),"acne or pimples, constipation, coryza, dry or flaky scalp, frequent urination, hand or finger weakness, irritable infant, lack of growth, nailbiting, painful menstruation, smoking problems, sore in nose"
Eye alignment disorder,"abnormal involuntary movements, cramps and spasms, diminished hearing, dizziness, eye burns or stings, eye deviation, foot or toe weakness, irregular appearing nails, knee weakness, pain during pregnancy, swollen eye, symptoms of bladder"
Headache after lumbar puncture,"back mass or lump, disturbance of smell or taste, hand or finger weakness, hysterical behavior, low back cramps or spasms, nasal congestion, neck mass, pain during intercourse, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Pyloric stenosis,"arm pain, bumps on penis, coryza, infant feeding problem, pain during intercourse, redness in or around nose, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting, weight gain"
Salivary gland disorder,"coryza, dry or flaky scalp, eyelid swelling, jaw pain, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, sore in nose, swollen eye, thirst"
